Kreis / Kreisfreie Stadt,Fläche in km²,Bevölkerung insgesamt,Bevölkerung männlich,Bevölkerung weiblich,Einwohner je km²
Altötting,"569,35",   106 965,   52 378,   54 587,188
Berchtesgadener Land,"839,92",   102 346,   49 891,   52 455,122
Bad Tölz-Wolfratshausen,"   1 110,69",   122 118,   59 850,   62 268,110
Dachau,"579,18",   144 407,   71 636,   72 771,249
Ebersberg,"549,37",   133 007,   65 811,   67 196,242
Eichstätt,"   1 214,06",   125 858,   63 300,   62 558,104
Erding,"870,72",   130 238,   65 192,   65 046,150
Freising,"799,82",   169 010,   85 466,   83 544,211
Fürstenfeldbruck,"434,79",   208 272,   101 205,   107 067,479
Garmisch-Partenkirchen,"   1 012,23",   85 443,   41 154,   44 289,84
Landsberg am Lech,"804,38",   114 926,   56 988,   57 938,143
Miesbach,"866,23",   96 049,   46 565,   49 484,111
Mühldorf a.Inn,"805,31",   109 227,   54 591,   54 636,136
München,"664,25",   329 981,   162 383,   167 598,497
Neuburg-Schrobenhausen,"739,8",   92 700,   46 418,   46 282,125
Pfaffenhofen a.d.Ilm,"761,14",   119 987,   60 632,   59 355,158
Rosenheim,"   1 439,54",   249 810,   123 049,   126 761,174
Starnberg,"487,71",   130 811,   62 863,   67 948,268
Traunstein,"   1 534,00",   170 364,   83 288,   87 076,111
Weilheim-Schongau,"966,38",   130 387,   64 322,   66 065,135
Kreisfreie Städte,"481,33",  1 597 436,   777 403,   820 033,   3 319
Landkreise,"   17 048,87",  2 871 906,  1 416 982,  1 454 924,168
Zusammen,"   17 530,20",  4 469 342,  2 194 385,  2 274 957,255
,,,,,
Landshut,"65,81",   66 179,   31 659,   34 520,   1 006
Passau,"69,57",   49 454,   23 239,   26 215,711
Straubing,"67,58",   45 502,   22 636,   22 866,673
Deggendorf,"861,3",   115 374,   57 071,   58 303,134
Freyung-Grafenau,"984,14",   77 626,   38 426,   39 200,79
Kelheim,"   1 065,98",   115 232,   57 764,   57 468,108
Landshut,"   1 347,91",   150 316,   75 767,   74 549,112
Passau,"   1 530,29",   185 671,   91 391,   94 280,121
Regen,"974,91",   76 257,   37 813,   38 444,78
Rottal-Inn,"   1 281,42",   117 654,   58 380,   59 274,92
Straubing-Bogen,"   1 201,94",   97 323,   48 597,   48 726,81
Dingolfing-Landau,"877,79",   92 565,   47 210,   45 355,105
Kreisfreie Städte,"202,96",   161 135,   77 534,   83 601,794
Landkreise,"   10 125,68",  1 028 018,   512 419,   515 599,102
Zusammen,"   10 328,64",  1 189 153,   589 953,   599 200,115
,,,,,
Amberg,"50,13",   41 592,   20 353,   21 239,830
Regensburg,"80,7",   140 276,   67 035,   73 241,   1 738
Weiden i.d.OPf.,"70,54",   41 726,   19 765,   21 961,592
Amberg-Sulzbach,"   1 255,76",   103 074,   51 248,   51 826,82
